1,0.0013
2,0.001
3,0.0008817
4,0.0015
5,0.00077027
6,0.00067556
7,0.00087348
8,0.0007531
9,0.00069048
10,0.00069678
11,0.00066863
12,0.00095773
13,0.0007462
14,0.0011
15,0.00074581
16,0.00091159
17,0.0007149
18,0.0007014
19,0.00059626
20,0.00074742
21,0.0007817
22,0.00074073
23,0.00063098
24,0.00061329
25,0.00084855
26,0.00060444
27,0.0011
28,0.00065651
29,0.00059461
30,0.0006529
31,0.00061284
32,0.00067111
33,0.00098333
34,0.0007228
35,0.00066817
36,0.00086093
37,0.00075545
38,0.00062488
39,0.00068531
